unit_id	code	base	unit_idx	block_start	block_end	n_blocks	slice	status
P3.A.20448e1f.u0	A	20448e1f-de7f-4577-b03e-55c2ce0ba764	0	0	516	516	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__20448e1f-de7f-4577-b03e-55c2ce0ba764__u0.blocks.jsonl	done
P3.A.20448e1f.u1	A	20448e1f-de7f-4577-b03e-55c2ce0ba764	1	516	873	357	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__20448e1f-de7f-4577-b03e-55c2ce0ba764__u1.blocks.jsonl	done
P3.A.25c842ba.u0	A	25c842ba-8c2f-49c7-8a9c-b4882f5c11f5	0	0	15	15	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__25c842ba-8c2f-49c7-8a9c-b4882f5c11f5__u0.blocks.jsonl	done
P3.A.2876ecf1.u0	A	2876ecf1-d813-45be-9511-b9b33dde61c0	0	0	3	3	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__2876ecf1-d813-45be-9511-b9b33dde61c0__u0.blocks.jsonl	done
P3.A.28ba2a9b.u0	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	0	0	605	605	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u0.blocks.jsonl	done
P3.A.28ba2a9b.u1	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	1	605	1150	545	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u1.blocks.jsonl	done
P3.A.28ba2a9b.u2	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	2	1150	1592	442	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u2.blocks.jsonl	done
P3.A.28ba2a9b.u3	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	3	1592	2310	718	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u3.blocks.jsonl	done
P3.A.28ba2a9b.u4	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	4	2310	2646	336	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u4.blocks.jsonl	done
P3.A.28ba2a9b.u5	A	28ba2a9b-a348-4fa1-b8ff-e1d15dd74105	5	2646	3293	647	/Users/taewonpark/Github/WORK/GoraeUniverse/dibang-sui/_research_analysis/2026-06-21-conversation-intent-extraction/_TASKS/instances/p3-chunks/A__28ba2a9b-a348-4fa1-b8ff-e1d15dd74105__u5.blocks.jsonl	done
